orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0125945568,0.0165479307,0.0134331655,0.0107257537,0.0100475184,0.0155788392,0.0284680817,0.0189487782,-0.054450743,-0.161627494
last_psi_dec02,,-0.033068996,-0.008750975,0.0014848455,-0.005286743,-0.004489235,-0.005342671,0.0005407052,0.0109810016,-0.034038257,-0.130321882
last_psi_dec03,,-0.039976936,-0.02114833,-0.001561551,-0.004726752,-0.005427675,-0.001151807,0.0118806515,0.0177168883,-0.006657813,-0.088057711
last_psi_dec04,,-0.050853909,-0.0343502,-0.01426132,-0.003594939,-0.001829384,0.0011036898,0.0176410695,0.0383981784,0.0227414968,-0.044318228
last_psi_dec05,,-0.030093305,-0.032847085,-0.023390663,-0.011924046,-0.00502268,0.0033405751,0.0110955319,0.0263395912,0.0377505457,-0.018391856
last_psi_dec06,,-0.022435179,-0.032100571,-0.023205158,-0.022134681,-0.007074266,-0.002904225,0.0074678661,0.019113163,0.0271703059,-0.008437548
last_psi_dec07,,-0.002382913,-0.016262876,-0.016931357,-0.016260253,-0.019702382,-0.006603871,0.0038070199,0.0139705535,0.0277874775,0.0231342266
last_psi_dec08,,0.0301909381,0.007638305,0.0018921528,-0.003136942,-0.008426691,-0.00898502,-0.000667581,0.0134715195,0.0245963546,0.0367655996
last_psi_dec09,,0.0727607581,0.0415757901,0.0313704609,0.0122617414,0.0047969386,-0.004762581,-0.011476293,0.0004905081,0.0135396769,0.0318604273
last_psi_dec10,,0.0992904473,0.0823308011,0.054748695,0.0386274631,0.0219553024,0.0067350452,-0.010414897,0.0018854676,0.0022932186,0.0213533792
