orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0165791318,-0.012209896,-0.04993434,-0.047460983,-0.053518557,-0.024656345,-0.053157405,-0.003480674,-0.092458786,-0.243502403
last_psi_dec02,,-0.023665758,0.0047237516,-0.005893109,-0.01845169,-0.009733727,-0.008749427,0.004884841,-0.00364334,-0.051241554,-0.128229484
last_psi_dec03,,0.0028072408,-0.009396954,-0.002661448,-0.005608757,-0.015169303,-0.0117888,-0.012165012,-0.010851824,-0.026803051,-0.104405745
last_psi_dec04,,0.0060336419,-0.02195012,-0.007400812,-0.000663192,-0.014145445,-0.010746025,-0.008328625,0.0189175465,0.0129540029,-0.047636274
last_psi_dec05,,0.021986517,-0.017862945,-0.017841452,-0.003329475,-0.010173069,0.0086756073,-0.010589308,0.0075833935,0.0335047959,-0.02716269
last_psi_dec06,,0.0227077369,-0.009921022,-0.015186344,-0.009851801,0.0014805773,0.0009842733,0.0009888243,0.0073994038,0.0208147063,0.003248897
last_psi_dec07,,0.0437226398,0.0068910609,-0.000709034,0.0042967394,-0.003949827,0.0025262301,0.0078570223,0.0102053978,0.0250771456,0.0183902181
last_psi_dec08,,0.0716744109,0.0081394793,0.0200011643,0.0108151518,0.0099646712,-0.00421946,0.004457619,0.0184749445,0.0285478201,0.0321761248
last_psi_dec09,,0.0869286694,0.027406897,0.0311953529,0.013830807,0.0185201509,-0.001401416,-0.006256408,0.0033958648,0.0232796514,0.031063505
last_psi_dec10,,0.1348468052,0.0573764689,0.0229129043,0.0233048204,0.015062942,-0.004284921,-0.003981199,0.030411222,0.03339986,0.0269680554
