cellid	_NAME_	_1999	_2000	_2001	_2002	_2003
11	net_log_wage	5.873E-01	6.036E-01	6.415E-01	6.447E-01	6.474E-01
12	net_log_wage	6.254E-01	6.139E-01	9.746E-01	1.017E+00	1.041E+00
13	net_log_wage	7.261E-01	7.032E-01	1.353E+00	1.387E+00	1.411E+00
14	net_log_wage	7.991E-01	7.464E-01	1.803E+00	1.821E+00	1.853E+00
21	net_log_wage	1.017E+00	1.030E+00	7.563E-01	7.653E-01	7.593E-01
22	net_log_wage	1.208E+00	1.239E+00	1.264E+00	1.264E+00	1.273E+00
23	net_log_wage	1.354E+00	1.356E+00	1.585E+00	1.602E+00	1.622E+00
24	net_log_wage	1.496E+00	1.488E+00	1.996E+00	2.013E+00	2.041E+00
31	net_log_wage	1.449E+00	1.437E+00	7.410E-01	7.704E-01	7.604E-01
32	net_log_wage	1.567E+00	1.577E+00	1.367E+00	1.394E+00	1.398E+00
33	net_log_wage	1.806E+00	1.834E+00	1.857E+00	1.845E+00	1.860E+00
34	net_log_wage	1.997E+00	2.004E+00	2.205E+00	2.205E+00	2.236E+00
41	net_log_wage	2.025E+00	2.042E+00	7.266E-01	7.227E-01	7.168E-01
42	net_log_wage	2.025E+00	2.045E+00	1.378E+00	1.413E+00	1.430E+00
43	net_log_wage	2.124E+00	2.182E+00	1.964E+00	1.960E+00	1.967E+00
44	net_log_wage	2.403E+00	2.491E+00	2.487E+00	2.443E+00	2.456E+00

From 01.40.even_histories_support.log N = 2.832E+06
