orig	psi_dec_00	psi_dec_01	psi_dec_02	psi_dec_03	psi_dec_04	psi_dec_05	psi_dec_06	psi_dec_07	psi_dec_08	psi_dec_09	psi_dec_10
last_psi_dec01		-4.325E-02	-7.175E-02	-6.072E-02	-4.665E-02	-5.184E-02	-4.691E-02	-5.694E-02	-3.437E-02	9.428E-02	2.117E-01
last_psi_dec02		2.446E-02	-6.580E-03	-2.670E-02	-1.911E-02	-1.991E-02	-1.697E-02	-1.742E-02	-2.245E-02	4.822E-02	1.808E-01
last_psi_dec03		1.719E-02	1.292E-02	-1.314E-02	-1.106E-02	-1.311E-02	-1.749E-02	-3.057E-02	-3.297E-02	8.267E-03	1.135E-01
last_psi_dec04		2.621E-02	1.558E-02	1.104E-03	-4.040E-03	-1.177E-02	-1.572E-02	-3.688E-02	-5.893E-02	-2.726E-02	4.867E-02
last_psi_dec05		-1.783E-02	9.652E-04	1.591E-03	7.941E-03	-2.576E-03	-9.719E-03	-2.319E-02	-4.737E-02	-5.280E-02	8.827E-03
last_psi_dec06		-3.916E-02	-5.881E-03	-7.118E-03	1.322E-02	6.735E-03	7.135E-03	-9.811E-03	-3.203E-02	-4.143E-02	-1.146E-02
last_psi_dec07		-7.216E-02	-3.719E-02	-2.347E-02	-4.527E-03	1.238E-02	1.071E-02	-1.683E-03	-1.832E-02	-4.275E-02	-5.324E-02
last_psi_dec08		-1.440E-01	-8.441E-02	-6.299E-02	-2.882E-02	-1.317E-02	4.354E-03	4.964E-03	-9.376E-03	-2.795E-02	-4.232E-02
last_psi_dec09		-2.301E-01	-1.689E-01	-1.361E-01	-7.707E-02	-4.727E-02	-1.269E-02	1.402E-02	1.043E-02	1.002E-04	-2.609E-02
last_psi_dec10		-3.085E-01	-2.559E-01	-2.006E-01	-1.283E-01	-8.450E-02	-4.667E-02	5.171E-04	1.799E-02	2.057E-02	-1.189E-02
